Bellek Hızı,Bluetooth Özelliği,Cihaz Ağırlığı,Dokunmatik Ekran,Ekran Boyutu,Ekran Kartı Bellek Tipi,Ekran Kartı Hafızası,Ekran Kartı Tipi,Ekran Kartı,Ekran Panel Tipi,eMMC Kapasitesi,Harddisk Kapasitesi,HDMI,İşlemci Cache,İşlemci Nesli,İşlemci Tipi,İşlemci,İşletim Sistemi,Kart Okuyucu,Klavye,Maksimum İşlemci Hızı,Max Ekran Çözünürlüğü,Optik Sürücü,Parmak İzi Okuyucu,Ram (Sistem Belleği),Ram Tipi,Renk,SSD Kapasitesi,Ürün Modeli,Webcam,Marka,Fiyat,Link
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 4050,TN,Yok,Yok,Var,12 MB Cache,12.Nesil,Intel Core i5,12450H,Yok (Free Dos),Yok,Aydınlatmalı,"4,4 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Siyah,512 GB,Oyun Bilgisayarları,Var,MSI,26.990,https://www.hepsiburada.com//msi-thin-gf63-12ve-082xtr-intel-core-i5-12450h-8gb-512gb-ssd-rtx4050-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-pm-HBC00003YCW2P
3200 MHz,Var,1 - 2 kg,Yok,"14,1 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Var,12 MB Cache,12.Nesil,1255U,1255U,Yok (Free Dos),Var,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Var,16 GB,DDR4,Gümüş,512 GB,Notebook,Var,Monster,16.999,https://adservice.hepsiburada.com/event/api/v1/track?event=RkZLazkwYnZoSll3N3U3OXlscjlZQXIzOWxqc0xvOWh4T2Z3M3R3anBORWRwVHQzV1Fidnc5dHU5dTVQTXdzcGpoOWhrVE90QzBpWVNxWGRhem03blN2bWlkaHlJMTZzaUdzRFUxR3VMbU91Q0ROMnZFVW5HWjJGWUtsRS9nVitQQmZPWHBqa0NwMzkrVXhWNjJtK2VYazJSWm5hNDVrV0VwTDI5VFdMNVg5bHdRbzhNdmpuSjdpYTViSTQrWkdncmpQaVlhSGl5NWdrSFJPQWRGVXpPbVc5NFpxellIZlZpT2ZpNDAvTDJrMUFmZkRLOGxXR1pVaVRVNjBoNmZuc2hHYzBuais3Z0N6aFBZbmdLbWZjQ2lCdnZvV0cxTDN3bU9RdDJVbVBHYVcwdlp5cVo4eEloUjdGcGhacmMvN3MyaXFwVEc0U3FUdFRyTmtmNGZLbENUdGs2Tk9jZlk4KzZpeEpkSC94a2s5QmJnUUJuY1hqVFNSdis0bGF1UnRUYXU1VzhJRGNPbUdpWkx2cnRKWThSWWR0MmJnRHhTWGsxSTUrZXJTZDFGLy9PcnV2Ri9Ta2w1REZidHdrNkUxYmRsYlRTbmcxeE85S2dlMEE4YmN6Z2habGZXQkh1REM3akRrcmxicDBUUDJ6M2s0SEEvUEthandrT2p5S1ltaHArT3IyTWl3TXFSb2RId3BnSU9Ucno1dHV1WXFFYlNoUXhyWGE=&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fmonster-huma-h4-v5-2-intel-core-i7-1255u-16-gb-ram-512-gb-ssd-freedos-14-1-fhd-tasinabilir-bilgisayar-p-HBCV00003GKOJ9%3Fmagaza%3DMonster+Notebook&eventName=sp-click&platform=desktop
3200 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,TN,Yok,Yok,Var,12 MB Cache,Ryzen,AMD Ryzen 7,5700U,Yok (Free Dos),Var,Q Türkçe,"4,3 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Gri,512 GB,Notebook,Var,Lenovo,9.999,https://www.hepsiburada.com//lenovo-ideapad-3-amd-ryzen-7-5700u-8gb-512gb-ssd-freedos-15-6-fhd-tasinabilir-bilgisayar-82ku00vntx-pm-HBC000021REF8
Belirtilmemiş,Var,1 - 2 kg,Yok,16 inç,Onboard,Belirtilmemiş,Dahili Ekran Kartı,AMD Radeon Graphics,IPS,Yok,512 GB,Var,Belirtilmemiş,Ryzen,AMD Ryzen 7,5800H,Windows 11 Home,Yok,Q Türkçe,"4,4 GHz",2520 x 1680,Belirtilmemiş,Var,16 GB,DDR4,Gri,512 GB,Notebook,Var,Huawei,16.999,https://www.hepsiburada.com//huawei-matebook-16-amd-ryzen-7-5800h-16gb-512gb-ssd-windows-11-home-16-ips-tasinabilir-bilgisayar-pm-HBC000020V9FD
2400 MHz,Var,1 - 2 kg,Yok,"15,6 inç",Onboard,Paylaşımlı,Dahili Ekran Kartı,Paylaşımlı,TN,128 GB,Yok,Var,4 MB Cache,İntel N Serisi,Intel Celeron,N4120,Yok (Free Dos),Var,Q İngilizce,"2,6 GHz",1366 x 768,Yok,Yok,4 GB,DDR4,Gri,Yok,Notebook,Var,Lenovo,5.700,https://www.hepsiburada.com//lenovo-ideapad-1-intel-celeron-n4120-4gb-128gb-emmc-freedos-15-6-hd-tasinabilir-bilgisayar-82v7006ntx-pm-HBC00003RYOSF
Belirtilmemiş,Var,1 - 2 kg,Var,13 inç,Belirtilmemiş,Paylaşımlı,Dahili Ekran Kartı,Intel Iris Xe Graphics,IPS,Yok,Yok,Yok,12 MB Cache,12.Nesil,Intel Core i7,1235U,Windows 11 Pro,Yok,Q İngilizce,"4,7 GHz",2880 x 1800,Yok,Yok,16 GB,LPDDR5,Siyah,256 GB,İkisi Bir Arada,Var,Microsoft,54.120,https://www.hepsiburada.com//microsoft-surface-pro-9-intel-i7-1255u-13-2880-x-1920-touch-16gb-ram-256gb-ssd-win11p-siyah-1-yil-garanti-qim-00023-pm-HBC00003ZQJS4
4800 MHz,Var,2 - 4 kg,Yok,"16,1 inç",GDDR6,6 GB,Yüksek Seviye Harici Ekran Kartı,Nvidia GeForce RTX 3060,IPS,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),Var,Numerik Tuşlu Aydınlatmalı,"4,7 GHz",1920 x 1080,Yok,Belirtilmemiş,32 GB,DDR5,Mavi,512 GB,Oyun Bilgisayarları,Var,HP,30.999,https://adservice.hepsiburada.com/event/api/v1/track?event=SjFrOEhZcXlTZWdlWnVNcXM2ZTIxQnlKS0YyMG5vY21sZkRZUStQSzJFLzVWcHphUnVwNjBQRUwxRUo2SUhzZmpuVGFVSTRja05lTDNaNWhRTFQ0M08yWGxvMVlWSlByZGJDdzR0cEo5WTZndlh3NkViUnZTeTFxZnJPd2ZHeWtEdHhOdlc0M3hucFZaM0MrTVRldTNDMnc1SGpEQ2MwdG1uRUFpdStDSEQ1Q014YWVlTmZXMCt5RnVpSkF3YStlTkh2MHp4N3hid0tOQzQvLzZrVE9lNzBDaUtOYXUrVUd6ZjFLditVOTBFQUpndzdWVlYxM3NXSDRhZkYvVkNIbzdFQkMvNHZYSm9HSlZYeEluVzZYbGNsSHFvWUo0ZVFpbVZnK0gvUkxaWXFBSmxRaDhYb2tReHlvMmI1KzRiUFRDMWFWWWdWZGIzNmN3QmU5UEV3dVNjQk5Ec1l5ZGlaWHV1ZW5xclpzTmk0WWc4a2hlelozZVU0N2twQTBUVlo0NUY2Z3g0N1FISDQxYkwvLy9Cd3N1UlBOYTc2UlpDa2NuRFBadHV5a3dBclV4TTZxRm5Rem96SEVIVGJtUEF0dlZ2RHZ4YTVVeURXd2U0aTBidDVpWk5yTmhvekVmNDJuL0Q5WDdBYzc5WDZVbGZPSWl1Z1dlVmRsMHZzWHV1bkFJd2VvMXpmRDIraXBwUmpwc2c=&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-victus-gaming-laptop-16-d1004nt-intel-core-i7-12700h-32-gb-512gb-ssd-rtx-3060-freedos-16-1-fhd-144-hz-tasinabilir-bilgisayar-6g0d2ea-p-HBCV000036P2FN%3Fmagaza%3DTeknorya&eventName=sp-click&platform=desktop
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce GTX1650,TN,Yok,256 GB,Var,16 MB Cache,5.Nesil,AMD Ryzen 5,5600H,Yok (Free Dos),Var,Q Türkçe,"4,2 GHz",1920 x 1080,Yok,Yok,8 GB,DDR4,Siyah,256 GB,Oyun Bilgisayarları,Var,Acer,13.499,https://www.hepsiburada.com//acer-nitro-5-an515-45-amd-ryzen-5-5600h-8gb-256gb-ssd-gtx1650-freedos-15-6-fhd-144hz-tasinabilir-bilgisayar-nh-qb9ey-004-pm-HBC000046NMN2
4800 MHz,Var,2 - 4 kg,Yok,"16,1 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050 Ti,IPS,Yok,Yok,Var,16 MB L3 Cache,6.Nesil,AMD Ryzen 5,6600H,Yok (Free Dos),Var,Q Türkçe,"4,5 GHz",1920 x 1080,Yok,Yok,8 GB,DDR5,Mavi,512 GB,Oyun Bilgisayarları,Var,HP,18.999,https://adservice.hepsiburada.com/event/api/v1/track?event=TFRKOUlhVW9kNjlXa1VNODJMNGx6WVptYnplcVFIaE1MQTEyazdIVjIrUHh3U09zaHRacG5mcldnWEZQUU5jQ2RtQk1OUW9HQnAvS3JXRUlvNExCWWNKTzFFRDRXOGpXemo3SjBTOEJJdnlzT01TVTQ0bGJVRHVlbGlid3oxSHNKUU15Sk5WdG9EYlBtNEc4NHNpS0NBTElJcW53Z2FHQU0rOUNvNklnVXBGaFNkT1U1VXM2ZzVxbDFQR2xMMGtPeHVtTmFCcjZiWFg4eGN1bDF5N3E4ZHBiTHBhdU43Uk43OE5CTmNsenFtL3Zhd0I3UHowSkFham5sRGFTZEp5clVPbkNrWFVBQ2dtQ3JrY21QYWdlVXp2OFVnRWRkQkJTSllQb0JhZkF3d3FmTitjNms3N0xHdTZBRE1pR0ppSmx4U01jNlVrMEFHSEVvN0VMb0M1WW0zc1BMNmFUVmdCbEU1akU0WE5VSHQxYS9GYVZNSUVTY0NQWlovY0RwVUN5R3dmZnlRYkg5VEw5dmdWeUFGT2lsTGN0ZVRGRTJpcjA1SXZRWldGNCtYdGRRRjlqdzFKY0lxWjNQZVJ5RGUycEdGVjY2M3JtTy9abU5ZUWZZTXVwek94OVJTRWVTdFlhK2JzcU9lTW5reTVXK25nWS9GOUgrdTYwZ2I3YXFqRVJIcnAzdXlmcmJkVnpFa1pzR0IvSTJFSUJmNmFmMlBtMk5oeHo=&redirect=https%3A%2F%2Fwww.hepsiburada.com%2Fhp-victus-laptop-16-e1010nt-amd-ryzen-5-6600h-8gb-ram-512gb-ssd-4gb-geforce-rtx-3050ti-16-1-inc-fhd-144-hz-freedos-mavi-68s26ea-tasinabilir-bilgisayar-p-HBCV00002H4HWM%3Fmagaza%3DTeknorya&eventName=sp-click&platform=desktop
3200 MHz,Var,2 - 4 kg,Yok,"15,6 inç",GDDR6,4 GB,Harici Ekran Kartı,Nvidia GeForce RTX 3050,LED,Yok,Yok,Var,24 MB Cache,12.Nesil,Intel Core i7,12700H,Yok (Free Dos),Yok,Q Türkçe,"4,7 GHz",1920 x 1080,Yok,Yok,16 GB,DDR4,Siyah,512 GB,Oyun Bilgisayarları,Var,Acer,19.998,https://www.hepsiburada.com//acer-nitro-an515-58-intel-core-i7-12700h-16gb-512gb-ssd-rtx3050-freedos-15-6-tasinabilir-bilgisayar-nh-qfjey-003-pm-HBC00003UCH7O
